battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_02076,VF6,BAT_02076.pt,success,56,1348
BAT_02079,VF5,BAT_02079.pt,success,48,1576
BAT_02081,V2F7,BAT_02081.pt,success,36,1376
BAT_02082,VF5,BAT_02082.pt,success,48,1484
BAT_02083,V5F11,BAT_02083.pt,success,64,1952
BAT_02084,VF4,BAT_02084.pt,success,40,1296
BAT_02085,VF4,BAT_02085.pt,success,20,712
BAT_02086,VF6,BAT_02086.pt,success,28,600
BAT_02087,VF5,BAT_02087.pt,success,24,760
BAT_02088,VF5,BAT_02088.pt,success,48,1524
BAT_02089,V3F10,BAT_02089.pt,success,26,1004
BAT_02090,VF4,BAT_02090.pt,success,40,1232
BAT_02091,V2F7,BAT_02091.pt,success,18,532
BAT_02092,VF3,BAT_02092.pt,success,16,612
BAT_02095,Fe2P4H3O16,BAT_02095.pt,success,25,1112
BAT_02096,VFeP2(HO5)2,BAT_02096.pt,success,32,1380
BAT_02098,FePHO5,BAT_02098.pt,success,16,704
BAT_02100,VF6,BAT_02100.pt,success,14,420
BAT_02101,FeP2HO8,BAT_02101.pt,success,24,1036
BAT_02102,VF4,BAT_02102.pt,success,10,328
BAT_02103,Fe(GeO3)2,BAT_02103.pt,success,18,696
BAT_02104,K2FeO4,BAT_02104.pt,success,28,738
BAT_02105,FeH8(SO6)2,BAT_02105.pt,success,92,4224
BAT_02106,FeH12(SO7)2,BAT_02106.pt,success,58,2460
BAT_02107,La7(FeO8)2,BAT_02107.pt,success,25,928
BAT_02112,Mn3NbFe2(PO4)6,BAT_02112.pt,success,36,1404
BAT_02113,Mn3Nb2Fe3O16,BAT_02113.pt,success,24,1046
BAT_02114,Mn2FeO6,BAT_02114.pt,success,36,1560
BAT_02115,MnFeO4,BAT_02115.pt,success,18,692
BAT_02116,Mn3(FeO5)2,BAT_02116.pt,success,15,612
BAT_02117,MnFeO4,BAT_02117.pt,success,12,496
BAT_02118,Mn2Fe3Ni3O16,BAT_02118.pt,success,24,1122
BAT_02119,Mn2FeO6,BAT_02119.pt,success,9,438
BAT_02120,Mn2FeO6,BAT_02120.pt,success,18,748
BAT_02121,Mn5FeO12,BAT_02121.pt,success,18,744
BAT_02122,MnFe3O8,BAT_02122.pt,success,12,520
BAT_02123,Mn5FeO12,BAT_02123.pt,success,36,1560
BAT_02125,Mn4FeO8,BAT_02125.pt,success,13,552
BAT_02126,Mn3FeO8,BAT_02126.pt,success,12,520
BAT_02127,Mn5Fe3O16,BAT_02127.pt,success,24,1136
BAT_02128,Mn7Fe3O20,BAT_02128.pt,success,60,2600
BAT_02129,Mn3FeO8,BAT_02129.pt,success,12,520
BAT_02130,Mn13Fe3O32,BAT_02130.pt,success,48,2080
BAT_02131,MnFe(PO4)2,BAT_02131.pt,success,24,972
BAT_02132,MnFe7(PO4)8,BAT_02132.pt,success,48,1976
BAT_02133,MnFe3(PO4)4,BAT_02133.pt,success,48,1960
BAT_02134,MnFe(PO4)2,BAT_02134.pt,success,24,984
