battery_id,framework_formula,id_charge,id_discharge,charge_file,discharge_file,charge_status,discharge_status
BAT_00700,FeSiO4,mp-850962,mp-758825,BAT_00700_mp-850962.cif,BAT_00700_mp-758825.cif,downloaded,downloaded
BAT_00701,FeSiO4,mp-758113,mp-1176885,BAT_00701_mp-758113.cif,BAT_00701_mp-1176885.cif,downloaded,downloaded
BAT_00703,Fe(SiO3)2,mp-1253019,mp-1266318,BAT_00703_mp-1253019.cif,BAT_00703_mp-1266318.cif,downloaded,downloaded
BAT_00705,FeSiO4,mp-1191756,mp-758209,BAT_00705_mp-1191756.cif,BAT_00705_mp-758209.cif,downloaded,downloaded
BAT_00706,FeSiO4,mp-766529,mp-757833,BAT_00706_mp-766529.cif,BAT_00706_mp-757833.cif,downloaded,downloaded
BAT_00707,FeSiO4,mp-764348,mp-759942,BAT_00707_mp-764348.cif,BAT_00707_mp-759942.cif,downloaded,downloaded
BAT_00708,Fe(Si2O5)3,mp-775750,mp-765285,BAT_00708_mp-775750.cif,BAT_00708_mp-765285.cif,downloaded,downloaded
BAT_00709,FeSiO4,mp-778622,mp-758465,BAT_00709_mp-778622.cif,BAT_00709_mp-758465.cif,downloaded,downloaded
BAT_00710,Fe3(SnO5)2,mp-753126,mp-756675,BAT_00710_mp-753126.cif,BAT_00710_mp-756675.cif,downloaded,downloaded
BAT_00711,FeSnO4,mp-756311,mp-1177968,BAT_00711_mp-756311.cif,BAT_00711_mp-1177968.cif,downloaded,downloaded
