battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_02228,Fe5O8,1,0.025263658332268,0.0252636583322681,-1.2836953722228372e-16,1.2836953722228372e-16,True,False,False,True,False,False
BAT_02229,FeO2,1,0.026047993552285,0.0260479935212748,3.101010420669681e-11,3.101010420669681e-11,True,False,False,True,False,False
BAT_02230,Fe3(PO4)4,1,0.021437356278203,0.0214373551613186,1.1168843558340136e-09,1.1168843558340136e-09,True,False,False,True,False,False
BAT_02231,Fe3(P2O7)2,1,0.041896890821464,0.0418968909085439,-8.707989884726429e-11,8.707989884726429e-11,True,False,False,True,False,False
BAT_02232,FePO4,1,0.174730924712203,0.2765823142538635,-0.1018513895416605,0.1018513895416605,True,False,False,True,False,False
BAT_02233,FePO4,1,0.088941432959381,0.0889414317815436,1.177837383181668e-09,1.177837383181668e-09,True,False,False,True,False,False
BAT_02236,Fe4P9O32,2,0.042939775642897,0.0411718649971212,0.0017679106457757,0.0017679106457757,True,False,False,True,False,False
BAT_02238,Fe(PO3)4,1,0.000811399822931,0.0008113992065616,6.163693398991005e-10,6.163693398991005e-10,True,False,False,True,False,False
BAT_02239,FePO4,1,0.142112473692608,0.1244294908475759,0.017682982845032,0.017682982845032,True,False,False,True,False,False
BAT_02240,FeP2O7,1,0.06849629874269,0.0641053233242742,0.0043909754184157,0.0043909754184157,True,False,False,True,False,False
BAT_02241,FePO4,1,0.029230097350827,0.0283999639256581,0.0008301334251688,0.0008301334251688,True,False,False,True,False,False
BAT_02242,Fe(PO3)3,1,0.010717643810729,0.0107176438665139,-5.578499814862248e-11,5.578499814862248e-11,True,False,False,True,False,False
BAT_02243,FePO4,1,0.117748443515073,0.0471034217118721,0.0706450218032008,0.0706450218032008,True,False,False,True,False,False
BAT_02244,FePO4,1,0.064445117027244,0.0031039851552224,0.0613411318720215,0.0613411318720215,True,False,False,True,False,False
BAT_02245,Fe2(PO4)3,1,0.007307465334124,0.0072544534329468,5.3011901177107273e-05,5.3011901177107273e-05,True,False,False,True,False,False
BAT_02246,FeP2O7,1,0.002867496383111,0.002859298550978,8.197832132935626e-06,8.197832132935626e-06,True,False,False,True,False,False
BAT_02248,Fe3P3O11,1,0.012084262579274,0.0120842630595212,-4.802472881176856e-10,4.802472881176856e-10,True,False,False,True,False,False
BAT_02249,Fe3(PO4)4,1,0.008415714418767,0.008415715052398,-6.336310087728947e-10,6.336310087728947e-10,True,False,False,True,False,False
BAT_02250,Fe(PO4)2,2,0.039853499334839,0.0352158769178264,0.0046376224170125,0.0046376224170125,True,False,False,True,False,False
BAT_02251,FeP2O7,2,0.072689089130525,0.0452195510796079,0.027469538050917,0.027469538050917,True,False,False,True,False,False
BAT_02252,Fe(PO3)5,1,0.055194215383896,0.052307162567622,0.0028870528162739,0.0028870528162739,True,False,False,True,False,False
BAT_02254,Fe(PO3)4,2,0.006287689106541,0.0026866093550569,0.003601079751484,0.003601079751484,True,False,False,True,False,False
BAT_02255,FePO4,1,0.015509598518297,0.0152727230482727,0.0002368754700242,0.0002368754700242,True,False,False,True,False,False
BAT_02256,Fe2(PO4)3,3,0.046032482833325,0.042794951581102,0.0032375312522229,0.0032375312522229,True,False,False,True,False,False
BAT_02257,Fe2P3O13,1,0.005395912171213,0.0053669532500147,2.8958921198290327e-05,2.8958921198290327e-05,True,False,False,True,False,False
BAT_02259,FeP2O7,1,0.005065497415952,0.0050399654597348,2.553195621712596e-05,2.553195621712596e-05,True,False,False,True,False,False
BAT_02260,Fe2P5O16,2,0.03474335910063,0.0335767885362741,0.0011665705643558,0.0011665705643558,True,False,False,True,False,False
BAT_02261,FeP2O7,1,0.020220950657472,0.0198201687714459,0.000400781886026,0.000400781886026,True,False,False,True,False,False
BAT_02262,Fe2(PO4)3,4,0.06614854581119,0.0326350933614247,0.0335134524497652,0.0335134524497652,True,False,False,True,False,False
BAT_02263,Fe3P4O15,2,0.010084047472605,0.0056445557055229,0.004439491767082,0.004439491767082,True,False,False,True,False,False
