battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00241,Fe2C2O7,Fe2C2O7,LiFe2C2O7,mp-752896,mp-762511,0.05237444872125,1
BAT_00242,Fe(CO3)2,Fe(CO3)2,LiFe(CO3)2,mp-752929,mp-753899,0.142076925170483,1
BAT_00243,NaFePCO7,NaFePCO7,NaLi2FePCO7,mp-769633,mp-770772,0.083123033251872,1
BAT_00245,Fe(CO3)2,LiFe2(CO3)4,Li2Fe(CO3)2,mp-763371,mp-1568135,0.088713766968627,2
BAT_00246,Fe2(CO3)3,LiFe2(CO3)3,Li2Fe2(CO3)3,mp-753178,mp-1302307,0.043847116640928,1
BAT_00247,Fe2C2O7,LiFe2C2O7,Li2Fe2C2O7,mp-757949,mp-757644,0.058231106435982,1
BAT_00248,Fe(CO3)2,LiFe2(CO3)4,Li2Fe(CO3)2,mp-758039,mp-759815,0.032447123042941,2
BAT_00249,Fe(CO3)2,LiFe2(CO3)4,Li2Fe(CO3)2,mp-763524,mp-759605,0.179010838873163,2
BAT_00250,FeCO4,LiFeCO4,Li2FeCO4,mp-758117,mp-757609,0.035494322785487,2
BAT_00251,Fe2(CO3)3,Fe2(CO3)3,Li2Fe2(CO3)3,mp-758121,mp-1178002,0.007121290537613,2
BAT_00252,Fe2C2O7,Fe2C2O7,LiFe2C2O7,mp-759204,mp-849784,0.08292455531801,1
BAT_00253,Fe2C2O7,Fe2C2O7,Li2Fe2C2O7,mp-758060,mp-759155,0.096238923410766,1
BAT_00254,Fe(CO3)4,Li17Fe4(CO3)16,Li5Fe(CO3)4,mp-882899,mp-765153,0.035090312195757,1
BAT_00255,FePCO7,LiFePCO7,Li2FePCO7,mp-768562,mp-768471,0.035563930648232,1
BAT_00256,FePCO7,Li3Fe2P2(CO7)2,Li5Fe2P2(CO7)2,mp-768618,mp-768672,0.011024877695781,2
BAT_00257,FePCO7,LiFePCO7,Li5Fe2P2(CO7)2,mp-768629,mp-768862,0.017592622831898,2
BAT_00258,FePCO7,Li3Fe2P2(CO7)2,Li5Fe2P2(CO7)2,mp-768557,mp-768689,0.017137325549559,2
BAT_00259,FePCO7,LiFePCO7,Li5Fe2P2(CO7)2,mp-1176714,mp-768722,0.008531020756535,2
BAT_00260,FePCO7,LiFePCO7,Li3FePCO7,mp-25406,mp-25445,0.071232121639483,2
